State,FIPS,Year,Population
AL,01001,1970,24460
AL,01001,1971,25500
AL,01001,1972,27200
AL,01001,1973,28500
AL,01001,1974,29300
AL,01001,1975,29700
AL,01001,1976,29900
AL,01001,1977,30500
AL,01001,1978,30900
AL,01001,1979,32100
AL,01001,1980,32259
AL,01001,1981,31985
AL,01001,1982,32036
AL,01001,1983,32054
AL,01001,1984,32134
AL,01001,1985,32245
AL,01001,1986,32893
AL,01001,1987,33268
AL,01001,1988,33636
AL,01001,1989,33996
AL,01001,1990,34356
AL,01001,1991,35018
AL,01001,1992,36002
AL,01001,1993,36976
AL,01001,1994,38218
AL,01001,1995,39154
AL,01001,1996,40251
AL,01001,1997,41293
AL,01001,1998,42193
AL,01001,1999,43140
AL,01001,2000,44021
AL,01001,2001,44889
AL,01001,2002,45909
AL,01001,2003,46800
AL,01001,2004,48366
AL,01001,2005,49676
AL,01001,2006,51328
AL,01001,2007,52405
AL,01001,2008,53277
AL,01001,2009,54135
AL,01001,2010,54660
AL,01001,2011,55253
AL,01001,2012,55175
AL,01001,2013,55038
AL,01001,2014,55290
AL,01001,2015,55347
AL,01003,1970,59382
AL,01003,1971,60100
AL,01003,1972,62400
AL,01003,1973,64200
AL,01003,1974,66100
AL,01003,1975,67900
AL,01003,1976,70200
AL,01003,1977,72400
AL,01003,1978,74500
AL,01003,1979,76600
AL,01003,1980,78556
AL,01003,1981,80287
AL,01003,1982,82331
AL,01003,1983,83978
AL,01003,1984,86752
AL,01003,1985,89401
AL,01003,1986,91311
AL,01003,1987,93214
AL,01003,1988,94649
AL,01003,1989,96198
AL,01003,1990,98921
AL,01003,1991,102229
AL,01003,1992,106228
AL,01003,1993,110873
AL,01003,1994,115834
AL,01003,1995,119962
AL,01003,1996,124261
AL,01003,1997,128770
AL,01003,1998,132857
AL,01003,1999,135820
AL,01003,2000,141342
AL,01003,2001,144875
AL,01003,2002,147957
AL,01003,2003,151509
AL,01003,2004,156266
AL,01003,2005,162183
AL,01003,2006,168121
AL,01003,2007,172404
AL,01003,2008,175827
AL,01003,2009,179406
AL,01003,2010,183193
AL,01003,2011,186659
AL,01003,2012,190396
AL,01003,2013,195126
AL,01003,2014,199713
AL,01003,2015,203709
AL,01005,1970,22543
AL,01005,1971,23100
AL,01005,1972,22900
AL,01005,1973,23500
AL,01005,1974,23400
AL,01005,1975,24900
AL,01005,1976,25600
AL,01005,1977,24700
AL,01005,1978,24500
AL,01005,1979,24400
AL,01005,1980,24756
AL,01005,1981,24748
AL,01005,1982,24777
AL,01005,1983,24798
AL,01005,1984,24952
AL,01005,1985,25002
AL,01005,1986,24941
AL,01005,1987,25102
AL,01005,1988,25230
AL,01005,1989,25336
AL,01005,1990,25452
AL,01005,1991,26227
AL,01005,1992,26435
AL,01005,1993,26637
AL,01005,1994,26788
AL,01005,1995,26665
AL,01005,1996,26866
AL,01005,1997,26747
AL,01005,1998,26936
AL,01005,1999,26726
AL,01005,2000,29015
AL,01005,2001,28863
AL,01005,2002,28653
AL,01005,2003,28594
AL,01005,2004,28287
AL,01005,2005,28027
AL,01005,2006,27861
AL,01005,2007,27757
AL,01005,2008,27808
AL,01005,2009,27657
AL,01005,2010,27341
AL,01005,2011,27226
AL,01005,2012,27159
AL,01005,2013,26973
AL,01005,2014,26815
AL,01005,2015,26489
AL,01007,1970,13812
AL,01007,1971,13900
AL,01007,1972,14100
AL,01007,1973,14700
AL,01007,1974,14400
AL,01007,1975,14800
AL,01007,1976,14800
AL,01007,1977,15300
AL,01007,1978,15400
AL,01007,1979,15600
AL,01007,1980,15723
AL,01007,1981,15836
