State,County,State FIPS,County FIPS,FIPS
AL,Autauga County,01,001,01001
AL,Baldwin County,01,003,01003
AL,Barbour County,01,005,01005
AL,Bibb County,01,007,01007
AL,Blount County,01,009,01009
AL,Bullock County,01,011,01011
AL,Butler County,01,013,01013
AL,Calhoun County,01,015,01015
AL,Chambers County,01,017,01017
AL,Cherokee County,01,019,01019
AL,Chilton County,01,021,01021
AL,Choctaw County,01,023,01023
AL,Clarke County,01,025,01025
AL,Clay County,01,027,01027
AL,Cleburne County,01,029,01029
AL,Coffee County,01,031,01031
AL,Colbert County,01,033,01033
AL,Conecuh County,01,035,01035
AL,Coosa County,01,037,01037
AL,Covington County,01,039,01039
AL,Crenshaw County,01,041,01041
AL,Cullman County,01,043,01043
AL,Dale County,01,045,01045
AL,Dallas County,01,047,01047
AL,DeKalb County,01,049,01049
AL,Elmore County,01,051,01051
AL,Escambia County,01,053,01053
AL,Etowah County,01,055,01055
AL,Fayette County,01,057,01057
AL,Franklin County,01,059,01059
AL,Geneva County,01,061,01061
AL,Greene County,01,063,01063
AL,Hale County,01,065,01065
AL,Henry County,01,067,01067
AL,Houston County,01,069,01069
AL,Jackson County,01,071,01071
AL,Jefferson County,01,073,01073
AL,Lamar County,01,075,01075
AL,Lauderdale County,01,077,01077
AL,Lawrence County,01,079,01079
AL,Lee County,01,081,01081
AL,Limestone County,01,083,01083
AL,Lowndes County,01,085,01085
AL,Macon County,01,087,01087
AL,Madison County,01,089,01089
AL,Marengo County,01,091,01091
AL,Marion County,01,093,01093
AL,Marshall County,01,095,01095
AL,Mobile County,01,097,01097
AL,Monroe County,01,099,01099
AL,Montgomery County,01,101,01101
AL,Morgan County,01,103,01103
AL,Perry County,01,105,01105
AL,Pickens County,01,107,01107
AL,Pike County,01,109,01109
AL,Randolph County,01,111,01111
AL,Russell County,01,113,01113
AL,St. Clair County,01,115,01115
AL,Shelby County,01,117,01117
AL,Sumter County,01,119,01119
AL,Talladega County,01,121,01121
AL,Tallapoosa County,01,123,01123
AL,Tuscaloosa County,01,125,01125
AL,Walker County,01,127,01127
AL,Washington County,01,129,01129
AL,Wilcox County,01,131,01131
AL,Winston County,01,133,01133
AK,Aleutians East Borough,02,013,02013
AK,Aleutians West Census Area,02,016,02016
AK,Anchorage Municipality,02,020,02020
AK,Bethel Census Area,02,050,02050
AK,Bristol Bay Borough,02,060,02060
AK,Denali Borough,02,068,02068
AK,Dillingham Census Area,02,070,02070
AK,Fairbanks North Star Borough,02,090,02090
AK,Haines Borough,02,100,02100
AK,Hoonah-Angoon Census Area,02,105,02105
AK,Juneau City and Borough,02,110,02110
AK,Kenai Peninsula Borough,02,122,02122
AK,Ketchikan Gateway Borough,02,130,02130
AK,Kodiak Island Borough,02,150,02150
AK,Lake and Peninsula Borough,02,164,02164
AK,Matanuska-Susitna Borough,02,170,02170
AK,Nome Census Area,02,180,02180
AK,North Slope Borough,02,185,02185
AK,Northwest Arctic Borough,02,188,02188
AK,Petersburg Census Area,02,195,02195
AK,Prince of Wales-Hyder Census Area,02,198,02198
AK,Sitka City and Borough,02,220,02220
